timestamp,coin,mark_px,oracle_px,funding_hourly,oi_btc,oi_usd,cfi,regime,asymmetry,long_pressure,short_pressure,liq_within_2pct_usd,liq_within_5pct_usd,liq_within_10pct_usd,n_wallets,n_positions,sampled_notional_usd,coverage_ratio,n_null_liqpx,n_dust_filtered,n_far_filtered
2026-06-10T11:14:01+00:00,BTC,61022.0,61052.0,4.9818e-06,31607.67916,1928763797.70152,17.4,calm,0.0996,75658125.0693259,92388370.15992507,45152400.77746,140844727.32266998,199088136.0499,2000,260,965550350.8101,0.5006058035518566,66,27,78
2026-06-10T11:24:00+00:00,BTC,61078.0,61109.0,4.6181e-06,31575.24532,1928552833.65496,17.56,calm,0.1163,75152793.77966818,94928557.30144724,48367728.27727,140660243.21570998,203567070.40157,2000,257,968800146.31093,0.5023456601263427,63,29,79
2026-06-10T11:29:42+00:00,BTC,61016.0,61050.0,3.1299e-06,31601.92228,1928222889.83648,17.74,calm,0.1144,76061440.01422495,95713745.37720706,45698456.29663,143842096.37778997,205963995.24891,2000,253,968280476.07291,0.5021621106027964,66,29,80
2026-06-10T11:39:41+00:00,BTC,61004.0,61037.0,3.0353e-06,31672.67534,1932159886.44136,17.77,calm,0.1289,75109160.36137368,97331528.95816047,46558396.22287,144870600.12061,206995953.46282,2000,259,970369674.07029,0.5022201738477817,65,30,80
2026-06-10T11:49:43+00:00,BTC,60951.0,60983.0,2.2743e-06,31694.56932,1931815694.62332,17.69,calm,0.1173,75852455.6917467,96015318.07182096,40693757.0909,144274728.28553998,206891096.62898,2000,261,971684697.32962,0.5029903732711346,64,30,80
2026-06-10T11:59:41+00:00,BTC,61034.0,61067.0,2.073e-06,31724.7071,1936285773.1414,17.7,calm,0.1328,74610916.41822529,97470020.07914975,46118965.04083,143400469.94112,206474108.5165,2000,262,972379295.65262,0.5021879048747268,63,32,81
2026-06-10T12:09:40+00:00,BTC,61089.0,61120.0,3.9711e-06,31672.33818,1934831467.07802,17.83,calm,0.1461,74061564.1492364,99410224.24696508,72354705.80083,144042713.20005,209650791.39415,2000,265,973084898.53946,0.5029300562332758,62,31,81
2026-06-10T12:19:41+00:00,BTC,61146.0,61176.0,5.8434e-06,32056.2356,1960110581.9976,18.53,calm,0.1186,80669384.3599193,102381365.08361135,72373763.98229,142579283.77679002,236781056.72866,2000,269,987980957.71631,0.5040434793783077,61,33,81
2026-06-10T12:29:40+00:00,BTC,61040.0,61070.0,7.1389e-06,32025.63616,1954844831.2064,18.4,calm,0.0978,81765805.43719833,99498622.54741296,44363472.8236,143045806.95671,236738125.11938,2000,263,985238078.2204,0.5039980987198747,63,31,79
2026-06-10T12:39:41+00:00,BTC,61623.0,61649.0,9.869e-06,31922.04716,1967132312.14068,17.42,calm,0.1379,72593729.29898374,95818968.29191305,51969806.19951999,129352113.22556,214811480.00288,2000,251,966559728.1651,0.4913547107125026,59,30,88
2026-06-10T12:49:41+00:00,BTC,61695.0,61720.0,1.07888e-05,32245.32336,1989375224.6952,18.09,calm,0.1759,73512437.35321134,104901620.43061054,73131849.25097999,142007675.55598003,227350496.43456995,2000,263,986175115.78386,0.4957210201182412,57,30,86
2026-06-10T12:59:41+00:00,BTC,61621.0,61646.0,1.05986e-05,32208.79714,1984738288.56394,17.98,calm,0.189,71356202.30594255,104619397.19893916,74648571.96521999,143846171.22681,222478404.7935,2000,261,978734774.83678,0.493130394307526,59,28,89
2026-06-10T13:09:41+00:00,BTC,61506.0,61536.0,7.3106e-06,32111.95568,1975077946.05408,17.94,calm,0.1987,69761305.8098058,104352634.13835873,76090929.45383,151826526.15394998,211442265.93466,2000,261,970491903.16293,0.4913689128582659,59,32,88
2026-06-10T13:19:41+00:00,BTC,61498.0,61528.0,4.8199e-06,32146.26554,1976931038.17892,18.61,calm,0.2008,72832194.20915025,109440674.21310164,83847924.99555,160913283.44119,221267042.11875004,2000,262,979643236.81873,0.495537384916139,62,28,90
2026-06-10T13:33:45+00:00,BTC,61516.0,61546.0,7.1515e-06,32234.45224,1982934563.99584,18.72,calm,0.198,73913662.15733068,110418045.90154396,84604783.58194,159173841.31776,217750540.52433,2000,267,984738523.41916,0.4966066663515106,57,25,94
2026-06-10T13:43:46+00:00,BTC,62056.0,62082.0,8.7236e-06,31877.84146,1978211329.64176,16.47,calm,0.2102,62603555.41203797,95930135.79389292,80560157.33277002,120994703.71317,185850733.55800003,2000,255,962714701.37505,0.486659178900462,62,29,87
2026-06-10T13:53:46+00:00,BTC,62386.0,62409.0,1.1789e-05,31986.19126,1995490527.94636,15.43,calm,0.1621,62096426.471264,86119211.77679278,70551246.79101,102509313.51331,167693741.63851,2000,252,960450924.61765,0.4813106908636088,57,33,84
2026-06-10T14:03:45+00:00,BTC,62081.0,62108.0,1.16263e-05,32015.899,1987579025.819,15.67,calm,0.1393,65368673.55710457,86532245.73453006,75436093.14269,109684225.09632,182788396.41253,2000,257,969248946.57169,0.487653036171632,62,29,87
2026-06-10T14:13:44+00:00,BTC,62214.0,62238.0,1.25e-05,32237.17636,2005603690.06104,15.94,calm,0.1484,66405206.78890473,89552962.24708448,78820919.5192,114896840.84371996,180095257.30877,2000,262,978295105.68429,0.4877808664455119,60,28,87
2026-06-10T14:23:45+00:00,BTC,61860.0,61890.0,1.25e-05,32308.3567800001,1998594950.4108064,15.77,calm,0.0835,70720465.68774456,83603887.43429065,55630374.68878,118756681.88315,185668476.01299003,2000,261,978566235.20555,0.4896270927755562,58,28,85
2026-06-10T14:33:45+00:00,BTC,62029.0,62057.0,1.25e-05,32671.45994,2026577988.61826,16.27,calm,0.081,74250173.4584314,87341721.85166779,74230769.26613,120757492.57781002,196233560.87884,2000,262,993107577.6774,0.4900416284272929,60,26,86
2026-06-10T14:43:44+00:00,BTC,61859.0,61884.0,1.25e-05,32671.4332,2021022186.3188,16.41,calm,0.0716,75836807.25917478,87534678.73845807,57747920.8985,126888401.46767,206090151.09106,2000,263,995650973.12522,0.4926472256787804,60,27,85
2026-06-10T14:53:45+00:00,BTC,61876.0,61900.0,1.25e-05,32770.78518,2027725103.79768,16.64,calm,0.0575,78272045.91570093,87818265.07647529,57624115.42265999,127630430.34989,209348983.96845,2000,258,998309133.28058,0.4923296217080262,61,27,85
2026-06-10T15:03:46+00:00,BTC,62066.0,62092.0,1.25e-05,32648.8681799999,2026384652.4598737,16.63,calm,0.1163,73127012.80781794,92381086.0924864,75343090.38785999,128687835.75037,202712742.89361,2000,253,994967983.6204,0.491006474221262,59,29,87
2026-06-10T15:13:44+00:00,BTC,61964.0,61990.0,1.25e-05,32571.31058,2018248688.77912,16.54,calm,0.0587,76966029.14184505,86564466.72823434,71859700.4691,126475772.80845,201192473.07384,2000,257,988671911.79603,0.4898662475505424,56,28,89
2026-06-10T15:23:15+00:00,BTC,61894.0,61917.0,1.25e-05,32909.50744,2036901053.49136,16.93,calm,0.0113,83907282.07858703,85830210.78756629,55919936.25954001,144191968.76087,213998027.37399,2000,264,1002417232.54522,0.4921285846590446,56,27,90
2026-06-10T15:33:13+00:00,BTC,62318.0,62349.0,1.25e-05,32775.3260399999,2042492768.1607137,17.15,calm,0.0988,76717136.08012779,93540011.88681155,76253625.39562,141539760.56457,201813107.02845,2000,269,992667697.80198,0.4860079375927915,57,27,91
2026-06-10T15:43:13+00:00,BTC,62224.0,62250.0,1.25e-05,32784.51338,2039983560.55712,17.11,calm,0.0759,78628936.48713577,91538368.38807628,70491305.4703,142669653.24936,203565952.31586,2000,270,994449374.8033102,0.4874791121021219,57,28,88
2026-06-10T15:53:14+00:00,BTC,62143.0,62167.0,1.25e-05,32758.62976,2035719529.17568,15.86,calm,0.1629,66163610.35107887,91915273.5148051,70137995.44469,118518825.74748,185755604.74348003,2000,262,996732745.97475,0.48962184214952,57,26,89
